id,id_passenger,date_created,date_close
7250734038,748372666,2021-07-29T16:33:29.759Z,2021-07-30T07:46:16.548Z
7250978114,1403775077,2021-07-29T17:21:16.023Z,2021-07-30T07:56:57.333Z
7250652204,471339828,2021-07-29T16:17:37.464Z,2021-07-30T07:54:56.328Z
7248555087,1522764887,2021-07-29T07:25:09.186Z,2021-07-30T07:45:49.760Z
7250579708,1430591145,2021-07-29T16:02:48.736Z,2021-07-30T07:53:47.147Z
7249868318,1292321263,2021-07-29T13:23:46.850Z,2021-07-30T07:47:12.360Z
7251505642,1468935710,2021-07-29T19:28:04.858Z,2021-07-30T07:57:59.064Z
7248343579,581845168,2021-07-29T06:30:32.250Z,2021-07-30T07:54:35.661Z
7250544886,465326409,2021-07-29T15:55:35.785Z,2021-07-30T08:04:33.763Z
7249755342,1475636760,2021-07-29T12:55:20.609Z,2021-07-30T10:15:43.126Z
7249757665,1475636760,2021-07-29T12:55:53.444Z,2021-07-30T10:15:53.956Z
7250321740,462376636,2021-07-29T15:08:42.222Z,2021-07-30T08:16:20.771Z
7251443956,210204636,2021-07-29T19:10:34.009Z,2021-07-30T10:20:21.881Z
7249408088,1521961129,2021-07-29T11:22:38.923Z,2021-07-30T09:43:04.970Z
7250843196,579379729,2021-07-29T16:54:44.763Z,2021-07-30T10:24:23.231Z
7251062708,611035457,2021-07-29T17:38:48.382Z,2021-07-30T09:34:30.450Z
7251030508,1500550015,2021-07-29T17:32:03.366Z,2021-07-30T10:27:54.985Z
7250784730,1294034648,2021-07-29T16:43:07.179Z,2021-07-30T09:44:19.473Z
7250391660,1215651315,2021-07-29T15:23:55.036Z,2021-07-30T10:32:12.808Z
7249175512,1392561657,2021-07-29T10:16:07.247Z,2021-07-30T08:23:49.506Z
7250444008,689203740,2021-07-29T15:35:13.133Z,2021-07-30T08:30:10.294Z
7250938071,714908402,2021-07-29T17:13:42.820Z,2021-07-30T08:30:48.057Z
7250940670,460913238,2021-07-29T17:14:11.743Z,2021-07-30T08:30:50.654Z
7251421784,434496335,2021-07-29T19:04:12.146Z,2021-07-30T08:19:36.411Z
7251433468,1240154641,2021-07-29T19:07:35.597Z,2021-07-30T08:26:43.158Z
7251308693,1520865340,2021-07-29T18:33:54.083Z,2021-07-30T08:14:08.867Z
7250021774,365937774,2021-07-29T13:59:47.711Z,2021-07-30T10:46:09.566Z
7249318526,478942938,2021-07-29T10:56:21.869Z,2021-07-30T10:22:51.006Z
7251157284,1202090952,2021-07-29T17:58:43.592Z,2021-07-30T10:37:43.886Z
